#&a / °	I1 / %
0.131	9.7
0.128	9.7
0.125	9.7
0.122	9.8
0.119	9.7
0.116	9.7
0.113	9.8
0.110	9.8
0.107	9.7
0.104	9.7
0.101	9.8
0.098	9.8
0.095	9.8
0.092	9.8
0.089	9.8
0.086	9.8
0.083	9.8
0.080	9.8
0.077	9.8
0.074	9.8
0.071	9.8
0.068	9.8
0.065	9.8
0.062	9.8
0.059	9.8
0.056	9.8
0.053	9.8
0.051	9.8
0.048	9.9
0.045	10.2
0.042	10.6
0.039	10.7
0.036	10.7
0.033	10.7
0.030	10.8
0.027	10.9
0.024	10.9
0.021	11.0
0.018	11.0
0.015	11.1
0.012	11.1
0.009	11.1
0.006	11.2
0.003	11.2
0.000	11.4
-0.003	11.4
-0.006	11.4
-0.009	11.4
-0.012	11.4
-0.015	11.3
-0.018	11.3
-0.021	11.3
-0.024	11.2
-0.027	11.0
-0.030	10.6
-0.033	10.2
-0.036	10.0
-0.039	9.9
-0.042	9.8
-0.045	9.8
-0.048	9.8
-0.051	9.8
-0.053	9.8
-0.056	9.8
-0.059	9.8
-0.062	9.8
-0.065	9.8
-0.068	9.7
-0.071	9.7
-0.074	9.8
-0.077	9.8
-0.080	9.8
-0.083	9.8
-0.086	9.8
-0.089	9.8
-0.092	9.8
-0.095	9.8
-0.098	9.8
-0.101	9.8
-0.104	9.8
-0.107	9.8
-0.110	9.8
-0.113	9.8
-0.116	9.8
-0.119	9.8
-0.122	9.8
-0.125	9.7
-0.128	9.8
-0.131	9.8
-0.134	9.8
-0.137	9.7
-0.140	9.8
-0.143	9.8
-0.146	9.8
-0.149	9.8
-0.152	9.8
-0.154	9.8
-0.157	9.8
-0.160	9.8
-0.163	9.8
-0.166	9.8
-0.169	9.8
-0.172	9.8
-0.175	9.8
-0.178	9.8
-0.181	9.8
-0.184	9.8
-0.187	9.8
-0.190	9.8
-0.193	9.8
-0.196	9.8
-0.199	9.8
-0.202	9.8
-0.205	9.8
-0.208	9.8
-0.211	9.8
-0.214	9.8
-0.217	9.9
-0.220	9.9
-0.223	9.8
-0.226	9.8
-0.229	9.8
-0.232	9.8
-0.235	9.9
-0.238	9.8
-0.241	9.8
-0.244	9.8
-0.247	9.8
-0.250	9.8
-0.253	9.8
-0.255	9.8
-0.258	9.8
-0.261	9.8
-0.264	9.8
-0.267	9.8
-0.270	9.8
-0.273	9.8
-0.276	9.9
-0.279	9.8
-0.282	9.9
-0.285	9.9
-0.288	9.9
-0.291	9.8
-0.294	9.8
-0.297	9.9
-0.300	9.9
-0.303	9.8
-0.306	9.8
-0.309	9.9
-0.312	9.9
-0.315	9.9
-0.318	9.9
-0.321	9.9
-0.324	9.9
-0.327	9.9
-0.330	9.9
-0.333	9.9
-0.336	9.8
-0.339	9.9
-0.342	9.9
-0.345	9.8
-0.348	9.8
-0.351	9.9
-0.354	9.8
-0.357	9.9
-0.359	9.9
-0.362	9.9
-0.365	9.9
-0.368	9.9
-0.371	9.9
-0.374	9.9
-0.377	9.9
-0.380	9.9
-0.383	9.9
-0.386	9.9
-0.389	9.9
-0.392	9.9
-0.395	9.9
-0.398	9.9
-0.401	9.9
-0.404	9.9
-0.407	9.9
-0.410	9.9
-0.413	9.9
-0.416	9.8
-0.419	9.8
-0.422	9.9
-0.425	9.9
-0.428	9.9
-0.431	9.9
-0.434	9.9
-0.437	9.9
-0.440	9.9
-0.443	9.9
-0.446	9.9
-0.449	9.9
-0.452	9.9
-0.455	9.9
-0.458	9.9
-0.460	9.9
-0.463	9.9
-0.466	9.9
-0.469	9.9
-0.472	9.9
-0.475	9.9
-0.478	10.0
-0.481	10.0
-0.484	10.0
-0.487	10.0
-0.490	10.0
-0.493	10.0
-0.496	10.0
-0.499	10.0
-0.502	10.0
-0.505	10.0
-0.508	10.0
-0.511	10.0
-0.514	10.0
-0.517	10.0
-0.520	10.0
-0.523	10.0
-0.526	10.0
-0.529	10.1
-0.532	10.0
-0.535	10.0
-0.538	10.0
-0.541	10.0
-0.544	10.0
-0.547	10.0
-0.550	10.1
-0.553	10.1
-0.556	10.1
-0.559	10.0
-0.561	10.0
-0.564	10.0
-0.567	10.0
-0.570	10.0
-0.573	10.1
-0.576	10.0
-0.579	10.0
-0.582	10.1
-0.585	10.0
-0.588	10.0
-0.591	10.1
-0.594	10.1
-0.597	10.0
-0.600	10.0
-0.603	10.1
-0.606	10.0
-0.609	10.1
-0.612	10.1
-0.615	10.0
-0.618	10.0
-0.621	10.0
-0.624	10.0
