#&a / °	I1 / %
-0.755	10.2
-0.758	10.2
-0.761	10.2
-0.763	10.2
-0.766	10.2
-0.769	10.2
-0.772	10.2
-0.775	10.2
-0.778	10.2
-0.781	10.2
-0.784	10.2
-0.787	10.2
-0.790	10.2
-0.793	10.2
-0.796	10.2
-0.799	10.2
-0.802	10.2
-0.805	10.2
-0.808	10.2
-0.811	10.2
-0.814	10.2
-0.817	10.2
-0.820	10.2
-0.823	10.2
-0.826	10.2
-0.829	10.2
-0.832	10.2
-0.835	10.3
-0.838	10.3
-0.841	10.3
-0.844	10.3
-0.847	10.2
-0.850	10.2
-0.853	10.2
-0.856	10.2
-0.859	10.2
-0.861	10.3
-0.864	10.3
-0.867	10.3
-0.870	10.3
-0.873	10.3
-0.876	10.3
-0.879	10.2
-0.882	10.2
-0.885	10.2
-0.888	10.3
-0.891	10.3
-0.894	10.2
-0.897	10.2
-0.900	10.2
-0.903	10.2
-0.906	10.2
-0.909	10.2
-0.912	10.2
-0.915	10.2
-0.918	10.2
-0.921	10.2
-0.924	10.2
-0.927	10.2
-0.930	10.2
-0.933	10.2
-0.936	10.2
-0.939	10.2
-0.942	10.2
-0.945	10.2
-0.948	10.2
-0.951	10.2
-0.954	10.2
-0.957	10.2
-0.960	10.2
-0.962	10.2
-0.965	10.2
-0.968	10.2
-0.971	10.2
-0.974	10.2
-0.977	10.2
-0.980	10.2
-0.983	10.2
-0.986	10.2
-0.989	10.2
-0.992	10.2
-0.995	10.2
-0.998	10.2
-1.001	10.2
-1.004	10.2
-1.007	10.2
-1.010	10.2
-1.013	10.3
-1.016	10.3
-1.019	10.3
-1.022	10.3
-1.025	10.3
-1.028	10.3
-1.031	10.3
-1.034	10.3
-1.037	10.3
-1.040	10.3
-1.043	10.3
-1.046	10.3
-1.049	10.3
-1.052	10.3
-1.055	10.3
-1.058	10.3
-1.060	10.3
-1.063	10.3
-1.066	10.3
-1.069	10.3
-1.072	10.3
-1.075	10.3
-1.078	10.3
-1.081	10.3
-1.084	10.3
-1.087	10.3
-1.090	10.3
-1.093	10.3
-1.096	10.3
-1.099	10.3
-1.102	10.3
-1.105	10.3
-1.108	10.3
-1.111	10.3
-1.114	10.3
-1.117	10.3
-1.120	10.3
-1.123	10.3
-1.126	10.3
-1.129	10.3
-1.132	10.3
