#&a / °	I1 / %
-1.245	11.7
-1.248	11.7
-1.251	11.7
-1.254	11.7
-1.256	11.7
-1.259	11.7
-1.262	11.7
-1.265	11.7
-1.268	11.7
-1.271	11.7
-1.274	11.7
-1.277	11.7
-1.280	11.7
-1.283	11.7
-1.286	11.7
-1.289	11.7
-1.292	11.7
-1.295	11.7
-1.298	11.7
-1.301	11.7
-1.304	11.7
-1.307	11.7
-1.310	11.7
-1.313	11.7
-1.316	11.7
-1.319	11.7
-1.322	11.7
-1.325	11.7
-1.328	11.7
-1.331	11.7
-1.334	11.7
-1.337	11.7
-1.340	11.7
-1.343	11.7
-1.346	11.7
-1.349	11.7
-1.352	11.7
-1.354	11.7
-1.357	11.7
-1.360	11.7
-1.363	11.7
-1.366	11.7
-1.369	11.7
-1.372	11.7
-1.375	11.7
-1.378	11.7
-1.381	11.7
-1.384	11.7
-1.387	11.7
-1.390	11.7
-1.393	11.7
-1.396	11.7
-1.399	11.7
-1.402	11.7
-1.405	11.7
-1.408	11.7
-1.411	11.7
-1.414	11.7
-1.417	11.7
-1.420	11.7
-1.423	11.7
-1.426	11.7
-1.429	11.7
-1.432	11.7
-1.435	11.7
-1.438	11.7
-1.441	11.7
-1.444	11.7
-1.447	11.7
-1.449	11.7
-1.452	11.7
-1.455	11.7
-1.458	11.7
-1.461	11.7
-1.464	11.7
-1.467	11.7
-1.470	11.7
-1.473	11.7
-1.476	11.7
-1.479	11.7
-1.482	11.7
-1.485	11.7
-1.488	11.7
-1.491	11.7
-1.494	11.7
-1.497	11.7
-1.500	11.7
-1.503	11.7
-1.506	11.7
-1.509	11.7
-1.512	11.7
-1.515	11.7
-1.518	11.7
-1.521	11.8
-1.524	11.7
-1.527	11.7
-1.530	11.7
-1.533	11.7
-1.536	11.7
-1.539	11.7
-1.542	11.7
-1.544	11.7
-1.547	11.7
-1.550	11.7
-1.553	11.7
-1.556	11.7
-1.559	11.7
-1.562	11.7
-1.565	11.7
-1.568	11.7
-1.571	11.7
-1.574	11.7
-1.577	11.7
-1.580	11.7
-1.583	11.7
-1.586	11.7
-1.589	11.7
-1.592	11.7
-1.595	11.7
-1.598	11.7
-1.601	11.6
-1.604	11.6
-1.607	11.6
-1.610	11.7
-1.613	11.7
-1.616	11.7
-1.619	11.7
-1.622	11.7
-1.625	11.7
-1.628	11.7
-1.631	11.7
-1.634	11.7
-1.637	11.7
-1.639	11.7
-1.642	11.7
-1.645	11.7
-1.648	11.7
-1.651	11.7
-1.654	11.7
-1.657	11.7
-1.660	11.7
-1.663	11.7
-1.666	11.7
-1.669	11.7
-1.672	11.7
-1.675	11.7
-1.678	11.7
-1.681	11.7
-1.684	11.7
-1.687	11.7
-1.690	11.7
-1.693	11.7
-1.696	11.7
-1.699	11.7
-1.702	11.7
